Synthese_eval_sanit;APP_Libelle_activite_etablissement;Code_postal;Libelle_commune;PTOT
2;67;93210;5944;111948
2;67;93210;5944;149313
3;103;93210;5944;524
3;103;93210;5944;303
3;103;93210;5944;111948
3;103;93210;5944;149313
2;126;93207;5944;524
2;126;93207;5944;303
2;126;93207;5944;111948
2;126;93207;5944;149313
3;125;93200;5944;524
3;125;93200;5944;303
3;125;93200;5944;111948
3;125;93200;5944;149313
2;125;93200;5944;524
2;125;93200;5944;303
2;125;93200;5944;111948
2;125;93200;5944;149313
2;10;93200;5944;524
2;10;93200;5944;303
2;10;93200;5944;111948
2;10;93200;5944;149313
1;126;93200;5944;524
1;126;93200;5944;303
1;126;93200;5944;111948
1;126;93200;5944;149313
2;126;93200;5944;524
2;126;93200;5944;303
2;126;93200;5944;111948
2;126;93200;5944;149313
2;126;93200;5944;524
2;126;93200;5944;303
2;126;93200;5944;111948
2;126;93200;5944;149313
2;10;93200;5944;524
2;10;93200;5944;303
2;10;93200;5944;111948
2;10;93200;5944;149313
2;10;93200;5944;524
2;10;93200;5944;303
2;10;93200;5944;111948
2;10;93200;5944;149313
2;126;93200;5944;524
2;126;93200;5944;303
2;126;93200;5944;111948
2;126;93200;5944;149313
3;125;93200;5944;524
3;125;93200;5944;303
3;125;93200;5944;111948
3;125;93200;5944;149313
1;125;93200;5944;524
1;125;93200;5944;303
1;125;93200;5944;111948
1;125;93200;5944;149313
2;125;93200;5944;524
2;125;93200;5944;303
2;125;93200;5944;111948
2;125;93200;5944;149313
2;126;93200;5944;524
2;126;93200;5944;303
2;126;93200;5944;111948
2;126;93200;5944;149313
2;10;93200;5944;524
2;10;93200;5944;303
2;10;93200;5944;111948
2;10;93200;5944;149313
2;125;93200;5944;524
2;125;93200;5944;303
2;125;93200;5944;111948
2;125;93200;5944;149313
2;125;93200;5944;524
2;125;93200;5944;303
2;125;93200;5944;111948
2;125;93200;5944;149313
2;125;93200;5944;524
2;125;93200;5944;303
2;125;93200;5944;111948
2;125;93200;5944;149313
2;11;93200;5944;524
2;11;93200;5944;303
2;11;93200;5944;111948
2;11;93200;5944;149313
1;125;93200;5944;524
1;125;93200;5944;303
1;125;93200;5944;111948
1;125;93200;5944;149313
3;125;93200;5944;524
3;125;93200;5944;303
3;125;93200;5944;111948
3;125;93200;5944;149313
1;125;93200;5944;524
1;125;93200;5944;303
1;125;93200;5944;111948
1;125;93200;5944;149313
2;125;93200;5944;524
2;125;93200;5944;303
2;125;93200;5944;111948
2;125;93200;5944;149313
2;125;93200;5944;524
2;125;93200;5944;303
2;125;93200;5944;111948
2;125;93200;5944;149313
2;125;93200;5944;524
2;125;93200;5944;303
2;125;93200;5944;111948
2;125;93200;5944;149313
2;126;93200;5944;524
2;126;93200;5944;303
2;126;93200;5944;111948
2;126;93200;5944;149313
2;125;93200;5944;524
2;125;93200;5944;303
2;125;93200;5944;111948
2;125;93200;5944;149313
3;125;93200;5944;524
3;125;93200;5944;303
3;125;93200;5944;111948
3;125;93200;5944;149313
2;125;93200;5944;524
2;125;93200;5944;303
2;125;93200;5944;111948
2;125;93200;5944;149313
2;125;93200;5944;524
2;125;93200;5944;303
2;125;93200;5944;111948
